,Data,Mes,Dia_do_Ano,Hora_Dia,Radiacao,Cobertura_de_Nuvens,Veloc_Vento,Classe_Estabilidade
0,2023-01-01,1,1,1,741.4429013743957,18.010906243630863,4.960227226868391,D
1,2023-01-01,1,1,2,78.99432245741853,98.12601889366238,8.71938145764465,D
2,2023-01-01,1,1,3,534.2399662125116,43.71699316892749,10.032630673073868,D
3,2023-01-01,1,1,4,326.7744167271209,73.3578373609834,6.81632836425149,D
4,2023-01-01,1,1,5,921.5959040861397,91.15790470284715,1.1840201073610994,D
5,2023-01-01,1,1,6,925.4358585440417,91.40155302132264,4.968244854844623,B
6,2023-01-01,1,1,7,932.8062031363822,48.26907173963695,6.025403503896388,C
7,2023-01-01,1,1,8,3.804802450968002,32.442875010216895,5.66038486432497,C
8,2023-01-01,1,1,9,29.17262940829073,3.765601932222473,3.5606577158784045,C
9,2023-01-01,1,1,10,941.5962943752002,60.63596832965834,3.947293791226437,B
10,2023-01-01,1,1,11,900.3952636300213,39.32708616339274,10.131031798612604,C
11,2023-01-01,1,1,12,540.0902648183518,12.734838968134564,2.0668444607771748,B
12,2023-01-01,1,1,13,595.7235131135553,34.18848577452297,5.641459386610063,D
13,2023-01-01,1,1,14,287.2078767071268,72.42884741885864,8.066793552935259,D
14,2023-01-01,1,1,15,856.327564001078,64.6725186362138,7.923255227365817,C
15,2023-01-01,1,1,16,465.09635025612727,94.829219980787,10.927401948560906,D
16,2023-01-01,1,1,17,814.3050413290906,63.39920538430977,4.000925044453497,B
17,2023-01-01,1,1,18,207.75593703675136,85.94104960865987,2.7014353881687936,E
18,2023-01-01,1,1,19,326.6358949174179,22.572247776118935,7.24072875162519,D
19,2023-01-01,1,1,20,512.4112713702318,45.73121611920827,1.4834564078420025,D
20,2023-01-01,1,1,21,449.7782948558117,50.447974486887794,0.5950761750889129,D
21,2023-01-01,1,1,22,345.3598417654845,97.28417160343355,0.02311547724284905,D
22,2023-01-01,1,1,23,750.3188325460428,33.26368966995234,6.73920005911269,D
23,2023-01-01,1,1,24,219.78670497459368,26.98690716614761,5.072078090035362,D
24,2023-01-02,1,2,1,215.0416102242898,30.569342670839326,10.180661510704054,D
25,2023-01-02,1,2,2,84.83247319237661,96.14707359782541,7.96167220002134,D
26,2023-01-02,1,2,3,297.9916168408316,35.096149141961504,10.038067462636024,D
27,2023-01-02,1,2,4,445.9111978672372,68.91647694097416,9.17971550036186,D
28,2023-01-02,1,2,5,48.80032962445899,24.750377991043138,9.685419941836672,D
29,2023-01-02,1,2,6,147.38050317948924,14.727131291564143,3.1641430631000733,C
30,2023-01-02,1,2,7,247.07824192452307,46.56433306608383,2.0586084734157613,C
31,2023-01-02,1,2,8,864.1217331232006,45.07109735291309,10.483230459464965,C
32,2023-01-02,1,2,9,593.6578087659766,39.60141055618248,10.554691003794638,D
33,2023-01-02,1,2,10,436.09743564012905,88.93002497473931,7.0672194607057,D
34,2023-01-02,1,2,11,791.8072403754026,22.267592508977486,7.7056632573775,C
35,2023-01-02,1,2,12,761.5931341723418,36.267963125955326,3.787335973825612,B
36,2023-01-02,1,2,13,485.7750266556503,73.87426670432018,3.066078868375133,C
37,2023-01-02,1,2,14,38.433625362580855,45.030276757914066,11.170500827575117,D
38,2023-01-02,1,2,15,435.64480330520246,10.509169371179606,1.343650911532922,B
