,Data,Mes,Dia_do_Ano,Hora_Dia,radiacao,cobertura_de_nuvens,veloc_vento
0,2023-01-01,1,1,1,150.59960732652533,44.18067204393379,8.592684995204586
1,2023-01-01,1,1,2,963.992812198484,46.4739324712077,2.8058759782516938
2,2023-01-01,1,1,3,685.7757348531158,59.05629323482272,0.8669235261034379
3,2023-01-01,1,1,4,167.45898670779007,17.617678567665063,1.1876129004641147
4,2023-01-01,1,1,5,198.5475331948629,31.201089361672107,10.093210422388939
5,2023-01-01,1,1,6,712.8673667837181,86.751893885423,2.350296333931909
6,2023-01-01,1,1,7,392.80913160466434,82.98182839909242,8.889516252409786
7,2023-01-01,1,1,8,952.4635493508379,78.88989547845716,6.2590869727977365
8,2023-01-01,1,1,9,98.80933710691181,27.511753286479568,1.0266348640522818
9,2023-01-01,1,1,10,885.6355016290136,9.382395234659057,5.312631789274699
10,2023-01-01,1,1,11,591.8216859020488,20.417508117015558,9.60708069795406
11,2023-01-01,1,1,12,190.65502214046734,91.97179795922207,1.483794259758172
12,2023-01-01,1,1,13,636.0701811549169,56.96806331998643,8.968796098909754
13,2023-01-01,1,1,14,901.1761187009673,76.57675271745316,2.117803668720583
14,2023-01-01,1,1,15,257.33825439743725,42.34797914965919,6.296179902017199
15,2023-01-01,1,1,16,990.6958897569465,36.79613500359695,0.5238739849837976
16,2023-01-01,1,1,17,597.6019858362663,60.68015776408633,1.6874054190141223
17,2023-01-01,1,1,18,276.7304262454515,63.729723177599865,9.091565296401216
18,2023-01-01,1,1,19,774.3946792609024,97.13550687873015,4.814259261903928
19,2023-01-01,1,1,20,942.4278276414595,39.162468174940436,4.215207352681849
20,2023-01-01,1,1,21,78.50707236875222,25.3482088139653,0.453975683505416
21,2023-01-01,1,1,22,247.47573686835588,29.008979147768965,5.823200644172485
22,2023-01-01,1,1,23,399.7123125244519,70.05258233301433,5.841005120896085
23,2023-01-01,1,1,24,85.33417078821181,61.515771903302785,10.644259005861358
24,2023-01-02,1,2,1,598.711047090334,82.61504370593427,9.342953015612618
25,2023-01-02,1,2,2,419.1063387097689,5.437345447187292,8.400757167398584
26,2023-01-02,1,2,3,735.869277723951,68.72029416266982,1.9876557821270637
27,2023-01-02,1,2,4,551.9188435142092,25.361918842552345,10.323493704449065
28,2023-01-02,1,2,5,677.0474288742151,86.58785930010299,5.629064829002453
29,2023-01-02,1,2,6,118.0105811869332,90.08913909335445,7.793386241010064
30,2023-01-02,1,2,7,392.2431181088609,31.37603929217252,4.309824732357904
31,2023-01-02,1,2,8,68.63926004788607,2.9525425218077217,10.159037092603867
32,2023-01-02,1,2,9,734.3070803366841,51.782184313394886,2.6825106864387576
33,2023-01-02,1,2,10,150.25554759205392,43.994705897169304,4.761312073041414
34,2023-01-02,1,2,11,529.8936276584169,82.32505807925908,3.6620377789903014
35,2023-01-02,1,2,12,127.5016747801925,59.24088149399432,7.0912029656111955
36,2023-01-02,1,2,13,793.5688937879369,65.22421601530336,11.105824166696017
37,2023-01-02,1,2,14,275.36844475113776,90.82723316659431,5.254414712289155
38,2023-01-02,1,2,15,596.1450615956304,10.684421788757525,8.815562431934227
39,2023-01-02,1,2,16,836.3640507814586,23.597852641577976,5.159566924137845
40,2023-01-02,1,2,17,138.43610066516314,16.59401823375739,0.3510373272621859
41,2023-01-02,1,2,18,588.4595143507411,77.75005035987161,6.37319235792255
42,2023-01-02,1,2,19,413.22269428276024,85.29171581206224,11.110599145046246
43,2023-01-02,1,2,20,996.8717375578842,64.06528872039668,9.903444139514527
44,2023-01-02,1,2,21,714.2717024901369,71.33896936836943,4.021172410149171
45,2023-01-02,1,2,22,804.565422289697,9.56062561339185,7.496573561982051
