datetime,datetime,year,month,day,random,sazonal,timeSeries
2008-01-01 00:00:00,2008-01-01 00:00:00,2008,1,1,0.21230634913257718,1.0,10.212306349132577
2008-01-01 01:00:00,2008-01-01 01:00:00,2008,1,1,0.703687019521017,0.9999997588734665,10.703684608255681
2008-01-01 02:00:00,2008-01-01 02:00:00,2008,1,1,0.8487403163017064,0.9999990354939822,10.848730671241528
2008-01-01 03:00:00,2008-01-01 03:00:00,2008,1,1,0.19096546117890778,0.999997829861896,10.190943759797868
2008-01-01 04:00:00,2008-01-01 04:00:00,2008,1,1,0.48026372134239703,0.9999961419777894,10.48022514112029
2008-01-01 05:00:00,2008-01-01 05:00:00,2008,1,1,0.9022709370852048,0.9999939718424762,10.902210655509968
2008-01-01 06:00:00,2008-01-01 06:00:00,2008,1,1,0.6339495871524773,0.9999913194570031,10.633862781722508
2008-01-01 07:00:00,2008-01-01 07:00:00,2008,1,1,0.9199667326497761,0.9999881848226492,10.919848580876268
2008-01-01 08:00:00,2008-01-01 08:00:00,2008,1,1,0.6337851093603631,0.9999845679409262,10.633630788769626
2008-01-01 09:00:00,2008-01-01 09:00:00,2008,1,1,0.6681057049448109,0.9999804688135782,10.667910393080593
2008-01-01 10:00:00,2008-01-01 10:00:00,2008,1,1,0.1749223736034906,0.9999758874425823,10.174681248029312
2008-01-01 11:00:00,2008-01-01 11:00:00,2008,1,1,0.22679950415123395,0.9999708238301476,10.22650774245271
2008-01-01 12:00:00,2008-01-01 12:00:00,2008,1,1,0.4425574782657592,0.9999652779787161,10.44221025805292
2008-01-01 13:00:00,2008-01-01 13:00:00,2008,1,1,0.015687366795827495,0.9999592498909624,10.015279865705452
2008-01-01 14:00:00,2008-01-01 14:00:00,2008,1,1,0.3603547559089866,0.9999527395697936,10.359882151606921
2008-01-01 15:00:00,2008-01-01 15:00:00,2008,1,1,0.8322885580272281,0.9999457470183493,10.831746028210722
2008-01-01 16:00:00,2008-01-01 16:00:00,2008,1,1,0.05639962765216899,0.9999382722400014,10.055782350052183
2008-01-01 17:00:00,2008-01-01 17:00:00,2008,1,1,0.19330035676813184,0.9999303152383551,10.192603509151683
2008-01-01 18:00:00,2008-01-01 18:00:00,2008,1,1,0.9832847632002404,0.9999218760172474,10.982503523372714
2008-01-01 19:00:00,2008-01-01 19:00:00,2008,1,1,0.507229551725644,0.999912954580748,10.506359097533124
2008-01-01 20:00:00,2008-01-01 20:00:00,2008,1,1,0.11721172693992965,0.9999035509331596,10.116247236271526
2008-01-01 21:00:00,2008-01-01 21:00:00,2008,1,1,0.4943807024789669,0.9998936650790171,10.493317353269138
2008-01-01 22:00:00,2008-01-01 22:00:00,2008,1,1,0.7888987461454289,0.9998832970230879,10.787731716376308
2008-01-01 23:00:00,2008-01-01 23:00:00,2008,1,1,0.7381093885806013,0.9998724467703719,10.73683385628432
2008-01-02 00:00:00,2008-01-02 00:00:00,2008,1,2,0.22092577700069937,0.9998611143261019,10.219536920261719
2008-01-02 01:00:00,2008-01-02 01:00:00,2008,1,2,0.5465271600051137,0.9998492996957429,10.545020156962543
2008-01-02 02:00:00,2008-01-02 02:00:00,2008,1,2,0.6920492047633716,0.9998370028849926,10.690419233613298
2008-01-02 03:00:00,2008-01-02 03:00:00,2008,1,2,0.3769120833985947,0.999824223899781,10.375154322396405
2008-01-02 04:00:00,2008-01-02 04:00:00,2008,1,2,0.013055196138808345,0.9998109627462709,10.011164823601517
2008-01-02 05:00:00,2008-01-02 05:00:00,2008,1,2,0.6663447078019235,0.9997972194308576,10.664316902110501
