datetime,datetime,year,month,day,random,sazonal,timeSeries
2007-01-01 00:00:00,2007-01-01 00:00:00,2007,1,1,0.35606704281221624,1.0,10.356067042812215
2007-01-01 01:00:00,2007-01-01 01:00:00,2007,1,1,0.8630179076340542,0.9999997588734665,10.86301549636872
2007-01-01 02:00:00,2007-01-01 02:00:00,2007,1,1,0.5470384871063231,0.9999990354939822,10.547028842046146
2007-01-01 03:00:00,2007-01-01 03:00:00,2007,1,1,0.7862684157307632,0.999997829861896,10.786246714349723
2007-01-01 04:00:00,2007-01-01 04:00:00,2007,1,1,0.06921203333446335,0.9999961419777894,10.069173453112356
2007-01-01 05:00:00,2007-01-01 05:00:00,2007,1,1,0.8392880296384011,0.9999939718424762,10.839227748063164
2007-01-01 06:00:00,2007-01-01 06:00:00,2007,1,1,0.10939903071901624,0.9999913194570031,10.109312225289047
2007-01-01 07:00:00,2007-01-01 07:00:00,2007,1,1,0.5612878684609539,0.9999881848226492,10.561169716687445
2007-01-01 08:00:00,2007-01-01 08:00:00,2007,1,1,0.46718710693686616,0.9999845679409262,10.467032786346127
2007-01-01 09:00:00,2007-01-01 09:00:00,2007,1,1,0.4610436286033608,0.9999804688135782,10.460848316739144
2007-01-01 10:00:00,2007-01-01 10:00:00,2007,1,1,0.9398274094483676,0.9999758874425823,10.93958628387419
2007-01-01 11:00:00,2007-01-01 11:00:00,2007,1,1,0.5379998946822813,0.9999708238301476,10.537708132983758
2007-01-01 12:00:00,2007-01-01 12:00:00,2007,1,1,0.7732934738646511,0.9999652779787161,10.772946253651813
2007-01-01 13:00:00,2007-01-01 13:00:00,2007,1,1,0.10663777944368968,0.9999592498909624,10.106230278353314
2007-01-01 14:00:00,2007-01-01 14:00:00,2007,1,1,0.4573392148161458,0.9999527395697936,10.456866610514082
2007-01-01 15:00:00,2007-01-01 15:00:00,2007,1,1,0.04734509474436266,0.9999457470183493,10.046802564927857
2007-01-01 16:00:00,2007-01-01 16:00:00,2007,1,1,0.3332954796594786,0.9999382722400014,10.332678202059492
2007-01-01 17:00:00,2007-01-01 17:00:00,2007,1,1,0.011064134339967113,0.9999303152383551,10.010367286723518
2007-01-01 18:00:00,2007-01-01 18:00:00,2007,1,1,0.5448765606886184,0.9999218760172474,10.544095320861091
2007-01-01 19:00:00,2007-01-01 19:00:00,2007,1,1,0.2982210292940498,0.999912954580748,10.29735057510153
2007-01-01 20:00:00,2007-01-01 20:00:00,2007,1,1,0.7823162030282342,0.9999035509331596,10.78135171235983
2007-01-01 21:00:00,2007-01-01 21:00:00,2007,1,1,0.279691694761218,0.9998936650790171,10.27862834555139
2007-01-01 22:00:00,2007-01-01 22:00:00,2007,1,1,0.0672684978301441,0.9998832970230879,10.066101468061023
2007-01-01 23:00:00,2007-01-01 23:00:00,2007,1,1,0.39025325290203494,0.9998724467703719,10.388977720605753
