datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.4485415902169444,2022,1,1,1.0,10.448541590216944
2022-01-01 01:00:00,2022-01-01 01:00:00,0.3007967048243436,2022,1,1,0.9999997588734665,10.300794293559008
2022-01-01 02:00:00,2022-01-01 02:00:00,0.440395891769249,2022,1,1,0.9999990354939822,10.440386246709071
2022-01-01 03:00:00,2022-01-01 03:00:00,0.6970487389739917,2022,1,1,0.999997829861896,10.697027037592951
2022-01-01 04:00:00,2022-01-01 04:00:00,0.9127074666788295,2022,1,1,0.9999961419777894,10.912668886456723
2022-01-01 05:00:00,2022-01-01 05:00:00,0.44423193292659346,2022,1,1,0.9999939718424762,10.444171651351356
2022-01-01 06:00:00,2022-01-01 06:00:00,0.8741923883802872,2022,1,1,0.9999913194570031,10.874105582950317
2022-01-01 07:00:00,2022-01-01 07:00:00,0.5879346265141305,2022,1,1,0.9999881848226492,10.587816474740622
2022-01-01 08:00:00,2022-01-01 08:00:00,0.6357755879165553,2022,1,1,0.9999845679409262,10.635621267325817
2022-01-01 09:00:00,2022-01-01 09:00:00,0.294190494822702,2022,1,1,0.9999804688135782,10.293995182958485
2022-01-01 10:00:00,2022-01-01 10:00:00,0.08043101665586605,2022,1,1,0.9999758874425823,10.08018989108169
2022-01-01 11:00:00,2022-01-01 11:00:00,0.158964420055825,2022,1,1,0.9999708238301476,10.158672658357302
2022-01-01 12:00:00,2022-01-01 12:00:00,0.12024730859405353,2022,1,1,0.9999652779787161,10.119900088381216
2022-01-01 13:00:00,2022-01-01 13:00:00,0.8842668273127219,2022,1,1,0.9999592498909624,10.883859326222346
2022-01-01 14:00:00,2022-01-01 14:00:00,0.6361913921110112,2022,1,1,0.9999527395697936,10.635718787808946
2022-01-01 15:00:00,2022-01-01 15:00:00,0.04503273770964278,2022,1,1,0.9999457470183493,10.044490207893137
2022-01-01 16:00:00,2022-01-01 16:00:00,0.03168803594295644,2022,1,1,0.9999382722400014,10.03107075834297
2022-01-01 17:00:00,2022-01-01 17:00:00,0.1440062068767649,2022,1,1,0.9999303152383551,10.143309359260316
2022-01-01 18:00:00,2022-01-01 18:00:00,0.03896112483704417,2022,1,1,0.9999218760172474,10.038179885009518
2022-01-01 19:00:00,2022-01-01 19:00:00,0.888694831297678,2022,1,1,0.999912954580748,10.88782437710516
2022-01-01 20:00:00,2022-01-01 20:00:00,0.9744063106462165,2022,1,1,0.9999035509331596,10.973441819977813
2022-01-01 21:00:00,2022-01-01 21:00:00,0.1467322388825012,2022,1,1,0.9998936650790171,10.145668889672672
2022-01-01 22:00:00,2022-01-01 22:00:00,0.211941429489643,2022,1,1,0.9998832970230879,10.210774399720522
2022-01-01 23:00:00,2022-01-01 23:00:00,0.5229557978754467,2022,1,1,0.9998724467703719,10.521680265579166
2022-01-02 00:00:00,2022-01-02 00:00:00,0.22623303225229474,2022,1,2,0.9998611143261019,10.224844175513315
2022-01-02 01:00:00,2022-01-02 01:00:00,0.8473796842591407,2022,1,2,0.9998492996957429,10.84587268121657
2022-01-02 02:00:00,2022-01-02 02:00:00,0.7552667442738793,2022,1,2,0.9998370028849926,10.753636773123805
2022-01-02 03:00:00,2022-01-02 03:00:00,0.16220989132901065,2022,1,2,0.999824223899781,10.16045213032682
2022-01-02 04:00:00,2022-01-02 04:00:00,0.9616144760749255,2022,1,2,0.9998109627462709,10.959724103537635
2022-01-02 05:00:00,2022-01-02 05:00:00,0.15133689228958624,2022,1,2,0.9997972194308576,10.149309086598164
2022-01-02 06:00:00,2022-01-02 06:00:00,0.6110361630844537,2022,1,2,0.9997829939601689,10.608866102686141
2022-01-02 07:00:00,2022-01-02 07:00:00,0.077977589038289,2022,1,2,0.999768286341065,10.075660452448938
2022-01-02 08:00:00,2022-01-02 08:00:00,0.512880871463246,2022,1,2,0.9997530965806385,10.510411837269631
2022-01-02 09:00:00,2022-01-02 09:00:00,0.6953366944451382,2022,1,2,0.999737424686215,10.692710941307288
2022-01-02 10:00:00,2022-01-02 10:00:00,0.7132135193343746,2022,1,2,0.9997212706653522,10.710426225987897
